"","County","Year","maytempDays90","maytempDays95","maytempDays99","juntempDays90","juntempDays95","juntempDays99","jultempDays90","jultempDays95","jultempDays99","augtempDays90","augtempDays95","augtempDays99","septempDays90","septempDays95","septempDays99","octtempDays90","octtempDays95","octtempDays99","meantemp","Average.x","sd.x","Anomaly.x","maypptDays90","maypptDays95","maypptDays99","junpptDays90","junpptDays95","junpptDays99","julpptDays90","julpptDays95","julpptDays99","augpptDays90","augpptDays95","augpptDays99","seppptDays90","seppptDays95","seppptDays99","octpptDays90","octpptDays95","octpptDays99","sumppt","Average.y","sd.y","Anomaly.y"
"41","F13003","1984",0,0,0,2,0,0,0,0,0,0,0,0,8,3,0,8,3,0,31.2253509386514,31.2271197879053,0.656100337144207,-0.00269600418373742,0,0,0,1,1,0,3,1,0,0,0,0,1,1,0,0,0,0,523.400816455,623.640886918595,118.139130426326,-0.848491690279594
"42","F13003","1985",4,1,0,8,6,4,0,0,0,0,0,0,4,3,0,6,3,0,31.3924284637133,31.2271197879053,0.656100337144207,0.251956395156716,2,0,0,1,1,0,2,1,0,4,3,0,0,0,0,2,0,0,701.68857092,623.640886918595,118.139130426326,0.660642106639491
"43","F13003","1986",9,7,2,6,0,0,15,13,4,5,2,2,6,3,0,10,9,6,32.37538864492,31.2271197879053,0.656100337144207,1.75014215358074,1,0,0,1,0,0,0,0,0,4,3,1,0,0,0,0,0,0,490.207755699,623.640886918595,118.139130426326,-1.12945753653407
"44","F13003","1987",0,0,0,0,0,0,3,2,0,11,4,1,1,0,0,0,0,0,31.4592386929462,31.2271197879053,0.656100337144207,0.353785681701078,0,0,0,4,2,0,2,1,0,2,1,0,0,0,0,0,0,0,534.194489704,623.640886918595,118.139130426326,-0.757127607862116
"45","F13003","1988",0,0,0,5,2,0,1,0,0,0,0,0,1,0,0,0,0,0,30.9653812108467,31.2271197879053,0.656100337144207,-0.398930715685789,0,0,0,1,0,0,1,0,0,2,1,0,3,2,0,1,0,0,554.418775635,623.640886918595,118.139130426326,-0.58593719992516
"46","F13003","1989",3,2,0,2,0,0,0,0,0,3,1,0,1,0,0,5,1,0,30.6879956635523,31.2271197879053,0.656100337144207,-0.821709872455842,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,690.374898257,623.640886918595,118.139130426326,0.564876439310025
"47","F13003","1990",5,4,2,4,1,0,10,9,1,13,2,0,15,8,3,10,9,3,32.6294245650098,31.2271197879053,0.656100337144207,2.13733280980803,1,0,0,1,0,0,2,2,0,2,1,0,0,0,0,2,2,1,543.133673623,623.640886918595,118.139130426326,-0.681461028239078
"48","F13003","1991",0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,0,0,0,31.0671358650092,31.2271197879053,0.656100337144207,-0.243840635096227,2,1,0,2,1,0,4,2,0,2,1,0,0,0,0,0,0,0,736.603673571,623.640886918595,118.139130426326,0.956184341672055
"49","F13003","1992",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,30.2183319608406,31.2271197879053,0.656100337144207,-1.53755114873999,0,0,0,3,2,0,2,0,0,3,1,0,1,0,0,1,1,0,689.747142975,623.640886918595,118.139130426326,0.559562744518682
"50","F13003","1993",0,0,0,6,2,0,6,1,0,3,1,0,2,0,0,0,0,0,31.7673209868603,31.2271197879053,0.656100337144207,0.823351503378681,0,0,0,2,2,0,2,2,0,0,0,0,1,1,0,2,1,0,584.70081595,623.640886918595,118.139130426326,-0.329611965384141
"51","F13003","1994",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30.0078170959571,31.2271197879053,0.656100337144207,-1.85840887882407,0,0,0,3,0,0,1,0,0,1,1,1,2,0,0,2,2,1,925.210611808,623.640886918595,118.139130426326,2.55266585932314
"52","F13003","1995",4,1,0,0,0,0,0,0,0,6,6,2,0,0,0,3,0,0,31.2011144522978,31.2271197879053,0.656100337144207,-0.0396362174126935,1,1,0,3,1,0,1,0,0,2,0,0,1,0,0,0,0,0,562.418571497,623.640886918595,118.139130426326,-0.518222160605577
