"","County","Quant90","Quant95","Quant99"
"90%109","F45089",19.565036462,25.292218992,36.6708088648
"90%110","F45003",16.15870884,22.722373422,35.0335709195998
"90%111","F13057",19.573656243,26.9927187985,45.6790735015
"90%112","F45051",18.76709674,27.4075000725,48.4295321530001
"90%113","F13121",18.82034252,26.2372259365,43.3949929852
"90%114","F13125",19.726227033,26.0279773425,38.9406001481999
"90%115","F13063",20.32200017,29.813599984,49.6472200184
"90%116","F37161",17.602329363,27.296189993,44.4833575819
"90%117","F13133",18.920810247,25.525405222,48.2590721594
"90%118","F13123",22.376488199,28.611906866,50.6850914894999
"90%119","F13299",16.45061061,23.406885444,33.4219986117999
"90%120","F13147",19.568594496,27.082821698,40.6820321592
"90%121","F37199",17.585083326,22.121041718,34.0633451491999
"90%122","F13231",18.69257142,27.158621475,41.1581141830001
"90%123","F13227",21.662787894,28.459575838,49.1010543332
"90%124","F13141",18.608970041,25.4011929275,44.5571566195
"90%125","F13307",24.279464332,33.219296542,46.1594714867
"90%126","F37173",18.53227848,25.927392416,49.4083949223999
"90%127","F37091",17.504836015,24.89744261,45.3304769622
"90%128","F37051",17.57360818,24.92824742,40.96491958
"90%129","F37193",17.781342093,25.5242018294999,41.1802479019
"90%130","F37163",17.669930035,23.1914510325,43.326041872
"90%131","F37137",21.110054162,26.66041887,54.1660000076001
"90%132","F37187",24.412647145,31.6720587475,49.1330735345
"90%133","F37125",18.535428269,24.797589648,37.5762830081
"90%134","F37155",16.33966408,24.031887344,41.1736034045
"90%135","F37171",17.228211794,28.676194152,43.0563100682
"90%136","F45029",15.458644457,23.1108630385,36.2255405481
"90%137","F37031",21.243647545,32.92144585,55.4980512760001
"90%138","F45059",19.335830094,26.378641502,37.3684038278
"90%139","F37005",20.203645153,28.378596982,43.1125190287
"90%140","F13101",17.377649942,23.1563583015,35.8401415966
"90%141","F37085",19.04588229,25.9867058,39.746400052
"90%142","F37093",15.480264162,22.8265405055,47.3412426065
"90%143","F37143",19.576253114,28.201428536,43.3632471656
"90%144","F13313",20.490585366,30.0425365785,59.2244925470001
"90%145","F37077",17.06548778,23.86853653,35.62434153
"90%146","F37095",20.142898294,27.841491898,44.065958411
"90%147","F13009",19.177525098,26.6540875565,48.5520017347
"90%148","F45039",18.87632621,23.531572848,34.3408118532
"90%149","F13029",19.26984853,27.66253794,39.8106075990001
"90%150","F13275",21.205708325,28.1792083055,37.6457445695
"90%151","F13099",17.500485838,25.885528437,41.6500143767999
"90%152","F13065",15.657891696,23.0832500285,36.86674166
"90%153","F37189",17.405489848,23.859377604,37.0065285273
"90%154","F45055",17.73445455,22.229863585,40.194454472
"90%155","F37113",19.377717958,28.469756262,49.0044410002
"90%156","F37043",20.869399975,28.1169428115,54.548848649
"90%157","F45073",19.778040816,27.807469409,44.6697132082999
"90%158","F45083",19.356393392,26.7423278,45.9263861092001
"90%159","F13193",21.956586168,33.3988275099999,43.3673200515999
"90%160","F13007",18.685350059,23.79006568,40.2709415632
"90%161","F13083",18.615076992,28.543673239,66.5578268317
"90%162","F13095",22.572933436,30.586888798,46.8856799412
"90%163","F13205",18.90743421,23.8245460465,44.3665421546999
"90%164","F13253",21.182714309,28.973428699,44.1286886892999
"90%165","F13249",22.517784588,32.82623069,42.9526772072
"90%166","F37041",20.784922208,30.73472231,42.7349111768
"90%167","F13151",18.872152189,25.6210392965,42.2349218061
"90%168","F37073",20.023836429,26.5246908575,44.4980654143
"90%169","F13269",19.632169887,25.494519808,37.8304044311
"90%170","F37139",20.101934892,28.020446512,40.5407907019999
"90%171","F37075",20.566488766,27.312666642,56.4527113368
"90%172","F37039",21.126447214,26.3045971365,56.0411859941
"90%173","F37019",18.193515681,25.2970859975,55.1897265057999
"90%174","F37083",16.832277816,23.22981487,42.704174202
"90%175","F37099",19.25912166,28.713986455,46.670168915
"90%176","F37185",17.92840579,24.006594195,35.2183970860001
"90%177","F37131",17.876629288,25.107977584,35.828795568
"90%178","F13033",16.298598256,23.335982928,40.5426359412
"90%179","F13291",22.32948975,28.79249995,50.0020509285
"90%180","F13293",21.442377774,28.4320911745,40.4850157657
"90%181","F13297",18.711217394,25.723652108,44.8071262617999
"90%182","F13303",16.507680425,23.061927785,44.316484737
"90%183","F13305",17.400463889,26.260898524,41.3388576327
"90%184","F13019",17.157261534,22.8839000275,34.4269276211
"90%185","F13309",20.928572672,27.505704576,43.1064499696
"90%186","F13073",20.47213327,25.681755594,42.3064710216
"90%187","F13091",17.763519701,28.0105212075,42.9713010414
"90%188","F13135",21.197111017,26.9158016709999,51.2660136653001
