"","County","Year","NumpptDays90","County1","NumpptDays95","County2","NumpptDays99","sumppt","Average","sd","Anomaly"
"3627","F13199","1981",2,"F13199",1,"F13199",1,400.80999994,554.78712882327,151.656890132164,-1.01529926368057
"3628","F13199","1982",2,"F13199",0,"F13199",0,525.297122931,554.78712882327,151.656890132164,-0.194452133803949
"3629","F13199","1983",0,"F13199",0,"F13199",0,393.987123236,554.78712882327,151.656890132164,-1.06028816394124
"3630","F13199","1984",1,"F13199",1,"F13199",0,448.862191785,554.78712882327,151.656890132164,-0.698451200904624
"3631","F13199","1985",0,"F13199",0,"F13199",0,570.776438123,554.78712882327,151.656890132164,0.105430813501422
"3632","F13199","1986",2,"F13199",1,"F13199",0,564.190136474,554.78712882327,151.656890132164,0.0620018493227405
"3633","F13199","1987",1,"F13199",0,"F13199",0,501.880821864,554.78712882327,151.656890132164,-0.348855280582137
"3634","F13199","1988",0,"F13199",0,"F13199",0,495.035753662,554.78712882327,151.656890132164,-0.393990507844379
"3635","F13199","1989",2,"F13199",1,"F13199",0,792.744657851,554.78712882327,151.656890132164,1.56905188297319
"3636","F13199","1990",1,"F13199",0,"F13199",0,422.377397489,554.78712882327,151.656890132164,-0.873087475411634
"3637","F13199","1991",5,"F13199",4,"F13199",0,619.719314462,554.78712882327,151.656890132164,0.428151899871767
"3638","F13199","1992",0,"F13199",0,"F13199",0,633.215068244,554.78712882327,151.656890132164,0.517140628113781
"3639","F13199","1993",1,"F13199",1,"F13199",0,408.677945237,554.78712882327,151.656890132164,-0.963419357069377
"3640","F13199","1994",0,"F13199",0,"F13199",0,882.8410945,554.78712882327,151.656890132164,2.16313261725756
"3641","F13199","1995",0,"F13199",0,"F13199",0,584.555616333,554.78712882327,151.656890132164,0.196288394703252
"3642","F13199","1996",1,"F13199",1,"F13199",0,439.14863007,554.78712882327,151.656890132164,-0.762500791441097
"3643","F13199","1997",0,"F13199",0,"F13199",0,641.165616445,554.78712882327,151.656890132164,0.569565204366607
"3644","F13199","1998",1,"F13199",0,"F13199",0,447.008630367,554.78712882327,151.656890132164,-0.710673272822258
"3645","F13199","1999",1,"F13199",0,"F13199",0,516.002876302,554.78712882327,151.656890132164,-0.255736831260823
"3646","F13199","2000",0,"F13199",0,"F13199",0,323.375616458,554.78712882327,151.656890132164,-1.52588855121322
"3647","F13199","2001",2,"F13199",2,"F13199",1,463.813973187,554.78712882327,151.656890132164,-0.599861671678685
"3648","F13199","2002",2,"F13199",1,"F13199",0,785.732877586,554.78712882327,151.656890132164,1.52281738443581
"3649","F13199","2003",3,"F13199",2,"F13199",2,855.425342497,554.78712882327,151.656890132164,1.98235776437018
"3650","F13199","2004",1,"F13199",0,"F13199",0,729.362191925,554.78712882327,151.656890132164,1.15111857397045
"3651","F13199","2005",1,"F13199",1,"F13199",0,700.260958916,554.78712882327,151.656890132164,0.959229943103506
"3652","F13199","2006",1,"F13199",0,"F13199",0,453.613561685,554.78712882327,151.656890132164,-0.667121467742752
"3653","F13199","2007",0,"F13199",0,"F13199",0,412.537945286,554.78712882327,151.656890132164,-0.937967166630577
"3654","F13199","2008",1,"F13199",1,"F13199",0,544.610547629,554.78712882327,151.656890132164,-0.0671026630270583
"3655","F13199","2009",0,"F13199",0,"F13199",0,743.320821606,554.78712882327,151.656890132164,1.24315942795892
"3656","F13199","2010",2,"F13199",1,"F13199",0,550.99479431,554.78712882327,151.656890132164,-0.0250060152886253
"3657","F13199","2011",0,"F13199",0,"F13199",0,375.251918281,554.78712882327,151.656890132164,-1.18382495108407
"3658","F13199","2012",1,"F13199",0,"F13199",0,495.392602623,554.78712882327,151.656890132164,-0.391637505875994
"3659","F13199","2013",2,"F13199",1,"F13199",1,659.840959428,554.78712882327,151.656890132164,0.692707271744654
"3660","F13199","2014",1,"F13199",1,"F13199",0,484.753699374,554.78712882327,151.656890132164,-0.46178864269364
"3661","F13199","2015",1,"F13199",1,"F13199",0,538.862027073,554.78712882327,151.656890132164,-0.105007439730513
"3662","F13199","2016",0,"F13199",0,"F13199",0,300.122574725,554.78712882327,151.656890132164,-1.67921519342998
"3663","F13199","2017",3,"F13199",0,"F13199",0,821.554918557,554.78712882327,151.656890132164,1.75902189146336
"3664","F13201","1981",2,"F13201",0,"F13201",0,536.049388001,640.86587037173,174.170389308201,-0.601804260684364
"3665","F13201","1982",1,"F13201",0,"F13201",0,698.264489419,640.86587037173,174.170389308201,0.329554405173323
"3666","F13201","1983",0,"F13201",0,"F13201",0,637.067551266,640.86587037173,174.170389308201,-0.0218080646246275
"3667","F13201","1984",0,"F13201",0,"F13201",0,466.457142477,640.86587037173,174.170389308201,-1.00136842196584
"3668","F13201","1985",3,"F13201",2,"F13201",0,658.535918616,640.86587037173,174.170389308201,0.101452654004249
"3669","F13201","1986",0,"F13201",0,"F13201",0,343.919591507,640.86587037173,174.170389308201,-1.70491827023061
"3670","F13201","1987",1,"F13201",0,"F13201",0,538.836938907,640.86587037173,174.170389308201,-0.585799525797613
