"","County","Quant90","Quant95","Quant99"
"90%36","F45023",29.63812501,42.666687655,75.273299958
"90%37","F37081",27.68686281,38.98749993,67.903509841
"90%38","F13003",20.172265271,38.3449389439999,70.0139406265
"90%39","F13201",24.75681636,37.866571482,61.5072162916
"90%40","F13081",22.74099998,28.127315869,49.6796474176001
"90%41","F13069",20.538525068,31.1781750899999,73.4327446260002
"90%42","F13017",22.763194455,29.8176387825,74.7290973625
"90%43","F13053",25.160694369,33.611985948,56.1880694916
"90%44","F13149",25.69126663,36.6584880385,65.0198218897001
"90%45","F37145",28.36038098,39.53060316,66.9252695724001
"90%46","F37181",31.570266636,40.160399935,52.3305868521996
"90%47","F13217",27.188829206,41.117073114,74.5922243208
"90%48","F37107",24.708603389,40.7116896075,84.3172151792
"90%49","F37045",31.60572242,40.078388043,65.1612536842
"90%50","F45087",31.35903232,44.4700945679999,84.6145753605999
"90%51","F37175",40.59357163,52.0747320525,88.0541385925
"90%52","F37049",27.40507895,39.185877105,88.32153474
"90%53","F13089",27.492900028,38.500699915,66.8308952716
"90%54","F13311",39.257032342,56.726032343,91.3055481604006
"90%55","F13115",27.55032446,35.241471594,59.7308028380001
"90%56","F37065",26.441946515,36.3748733814999,67.7199516107
"90%57","F13213",22.536222204,33.7125279125,63.8237069472
"90%58","F37027",28.282289822,40.140391445,66.8366985744
"90%59","F37147",25.388333341,40.6002655145,83.416914382
"90%60","F45041",24.473758596,34.513551798,116.428781436
"90%61","F45081",31.2923998670001,44.3201286325,69.0037247005
"90%62","F37103",24.229873232,39.6559227185,95.7600558271
"90%63","F13295",27.203580336,38.417098329,54.7509277894
"90%64","F13179",21.700031746,40.655698312,110.16519341
"90%65","F45007",31.132151657,42.7925581345,60.5836141737999
"90%66","F13161",19.620933434,33.734188956,75.4715442967999
"90%67","F37067",25.17689227,38.999246162,65.4436989694
"90%68","F37191",22.545494266,40.464230059,67.4541587354001
"90%69","F37017",21.609545445,39.67403408,83.404269054
"90%70","F45047",29.008176362,38.030470506,69.8318942911999
"90%71","F37149",33.274019704,48.1984304765,74.8879776459999
"90%72","F37121",17.347264714,27.015985231,55.7955526238001
"90%73","F37053",28.395034446,40.746654944,82.1047447131997
"90%74","F13107",23.156454476,31.2931918965,78.8142845789
"90%75","F13127",26.390766665,45.7030416835001,88.4997601032
